Plant Code,Utility Name,Plant Name,State,Latitude,Longitude,BA Code,BA Name,Fuel Type,Prime Mover,Net Generation (MWh)
1707,Consumers Energy Co - (MI),Hardy,MI,43.486618,-85.629866,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,152936.0
1708,Consumers Energy Co - (MI),Hodenpyl,MI,44.36286,-85.819968,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,89986.0
1710,Consumers Energy Co - (MI),J H Campbell,MI,42.910296,-86.20074,MISO,"Midcontinent Independent Transmission System Operator, Inc..",BIT,ST,19084.488
1710,Consumers Energy Co - (MI),J H Campbell,MI,42.910296,-86.20074,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,ST,41631.31
1710,Consumers Energy Co - (MI),J H Campbell,MI,42.910296,-86.20074,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SUB,ST,13168828.219999999
1712,Consumers Energy Co - (MI),Loud,MI,44.4631,-83.7208,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,33446.0
1713,Consumers Energy Co - (MI),Ludington,MI,43.8942,-86.4447,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,PS,-1620276.0
1714,Consumers Energy Co - (MI),Mio,MI,44.661114,-84.131691,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,19904.0
1715,"Holtec Palisades, LLC",Palisades,MI,42.323,-86.3146,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1716,Consumers Energy Co - (MI),Rogers,MI,43.613001,-85.479469,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,46590.0
1718,Consumers Energy Co - (MI),Straits,MI,45.766859,-84.756601,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1719,Consumers Energy Co - (MI),Thetford,MI,43.156746,-83.628589,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1720,Consumers Energy Co - (MI),J C Weadock,MI,43.639927,-83.844712,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1722,Consumers Energy Co - (MI),Webber,MI,42.9528,-84.9025,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,22284.0
1723,Consumers Energy Co - (MI),J R Whiting,MI,41.792114,-83.44948,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1725,DTE Electric Company,Colfax,MI,42.658653,-84.095181,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,IC,-478.0
1726,DTE Electric Company,Conners Creek,MI,42.3592,-82.9597,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1727,DTE Electric Company,Dayton (MI),MI,42.1758,-83.5336,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
