Plant Code,Utility Name,Plant Name,State,Latitude,Longitude,BA Code,BA Name,Fuel Type,Prime Mover,Net Generation (MWh)
997,Northern Indiana Pub Serv Co,Michigan City,IN,41.7208,-86.9086,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,ST,56240.45
997,Northern Indiana Pub Serv Co,Michigan City,IN,41.7208,-86.9086,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SUB,ST,2286479.452
998,Northern Indiana Pub Serv Co,Norway (IN),IN,40.7803,-86.76,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,28462.0
999,Northern Indiana Pub Serv Co,Oakdale,IN,40.6564,-86.7528,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,39918.0
1001,"Duke Energy Indiana, LLC",Cayuga,IN,39.9242,-87.4244,MISO,"Midcontinent Independent Transmission System Operator, Inc..",BIT,ST,8607028.79
1001,"Duke Energy Indiana, LLC",Cayuga,IN,39.9242,-87.4244,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,GT,750.0840000000001
1001,"Duke Energy Indiana, LLC",Cayuga,IN,39.9242,-87.4244,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,IC,538.0
1001,"Duke Energy Indiana, LLC",Cayuga,IN,39.9242,-87.4244,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,ST,12517.244
1001,"Duke Energy Indiana, LLC",Cayuga,IN,39.9242,-87.4244,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,GT,34045.916
1002,"Duke Energy Indiana, LLC",Connersville,IN,39.6561,-85.1758,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1004,"Duke Energy Indiana, LLC",Edwardsport,IN,38.8067,-87.2472,MISO,"Midcontinent Independent Transmission System Operator, Inc..",BIT,CA,613236.9609999999
1004,"Duke Energy Indiana, LLC",Edwardsport,IN,38.8067,-87.2472,MISO,"Midcontinent Independent Transmission System Operator, Inc..",BIT,CT,0.0
1004,"Duke Energy Indiana, LLC",Edwardsport,IN,38.8067,-87.2472,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,CA,843590.159
1004,"Duke Energy Indiana, LLC",Edwardsport,IN,38.8067,-87.2472,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,CT,1515600.1970000002
1004,"Duke Energy Indiana, LLC",Edwardsport,IN,38.8067,-87.2472,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SGC,CA,1429502.879
1004,"Duke Energy Indiana, LLC",Edwardsport,IN,38.8067,-87.2472,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SGC,CT,2144849.79
1005,"Duke Energy Indiana, LLC",Markland,IN,38.7795,-84.964,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WAT,HY,789322.0
1006,"Duke Energy Indiana, LLC",Miami Wabash,IN,40.7884,-85.8178,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1007,"Duke Energy Indiana, LLC",Noblesville,IN,40.0969,-85.9714,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,CA,0.0
1007,"Duke Energy Indiana, LLC",Noblesville,IN,40.0969,-85.9714,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,CT,2545638.0
1008,"Duke Energy Indiana, LLC",R Gallagher,IN,38.2636,-85.8381,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1010,"Duke Energy Indiana, LLC",Wabash River,IN,39.53,-87.4247,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1011,Southern Indiana Gas & Elec Co,Broadway (IN),IN,37.969116,-87.604879,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1012,Southern Indiana Gas & Elec Co,F B Culley,IN,37.9111,-87.3275,MISO,"Midcontinent Independent Transmission System Operator, Inc..",BIT,ST,2949219.251
1012,Southern Indiana Gas & Elec Co,F B Culley,IN,37.9111,-87.3275,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,ST,53220.706
1013,Southern Indiana Gas & Elec Co,Northeast (IN),IN,38.0211,-87.5172,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1016,Fayetteville Public Works Commission,Butler-Warner Generation Plant,NC,35.0986,-78.8294,CPLE,Duke Energy Progress East,DFO,CA,-521.608
1016,Fayetteville Public Works Commission,Butler-Warner Generation Plant,NC,35.0986,-78.8294,CPLE,Duke Energy Progress East,DFO,CT,160.102
1016,Fayetteville Public Works Commission,Butler-Warner Generation Plant,NC,35.0986,-78.8294,CPLE,Duke Energy Progress East,DFO,GT,-35.169999999999995
1016,Fayetteville Public Works Commission,Butler-Warner Generation Plant,NC,35.0986,-78.8294,CPLE,Duke Energy Progress East,MWH,BA,-96.0
1016,Fayetteville Public Works Commission,Butler-Warner Generation Plant,NC,35.0986,-78.8294,CPLE,Duke Energy Progress East,NG,CA,1789.6080000000002
1016,Fayetteville Public Works Commission,Butler-Warner Generation Plant,NC,35.0986,-78.8294,CPLE,Duke Energy Progress East,NG,CT,27751.898
1016,Fayetteville Public Works Commission,Butler-Warner Generation Plant,NC,35.0986,-78.8294,CPLE,Duke Energy Progress East,NG,GT,6721.17
1016,Fayetteville Public Works Commission,Butler-Warner Generation Plant,NC,35.0986,-78.8294,CPLE,Duke Energy Progress East,SUN,PV,3064.0
1024,Crawfordsville Energy LLC,Crawfordsville Power Plant,IN,40.048889,-86.8992,MISO,"Midcontinent Independent Transmission System Operator, Inc..",BIT,ST,0.0
